mature_mirna_from_literature	miRBase_Last_Version	miRBase_accession	miRBase_family	organism
hsa-miR-183	hsa-miR-183-5p	MIMAT0000261	mir-183	Homo sapiens
hsa-miR-183-5p	hsa-miR-183-5p	MIMAT0000261	mir-183	Homo sapiens
hsa-miR-184	hsa-miR-184	MIMAT0000454	mir-184	Homo sapiens
hsa-miR-185	hsa-miR-185-5p	MIMAT0000455	mir-185	Homo sapiens
hsa-miR-185-5p	hsa-miR-185-5p	MIMAT0000455	mir-185	Homo sapiens
hsa-miR-186	hsa-miR-186-5p	MIMAT0000456	mir-186	Homo sapiens
hsa-miR-186-5p	hsa-miR-186-5p	MIMAT0000456	mir-186	Homo sapiens
hsa-miR-187	hsa-miR-187-3p	MIMAT0000262	mir-187	Homo sapiens
hsa-miR-187*	hsa-miR-187-5p	MIMAT0004561	mir-187	Homo sapiens
hsa-miR-187-3p	hsa-miR-187-3p	MIMAT0000262	mir-187	Homo sapiens
hsa-miR-188	hsa-miR-188-5p	MIMAT0000457	mir-188	Homo sapiens
hsa-miR-188-3p	hsa-miR-188-3p	MIMAT0004613	mir-188	Homo sapiens
hsa-miR-188-5p	hsa-miR-188-5p	MIMAT0000457	mir-188	Homo sapiens
hsa-miR-189	hsa-miR-24-1-5p	MIMAT0000079	mir-24	Homo sapiens
hsa-miR-18a	hsa-miR-18a-5p	MIMAT0000072	mir-17	Homo sapiens
hsa-miR-18a*	hsa-miR-18a-3p	MIMAT0002891	mir-17	Homo sapiens
hsa-miR-18a-5p	hsa-miR-18a-5p	MIMAT0000072	mir-17	Homo sapiens
hsa-miR-18b	hsa-miR-18b-5p	MIMAT0001412	mir-17	Homo sapiens
hsa-miR-18b-5p	hsa-miR-18b-5p	MIMAT0001412	mir-17	Homo sapiens
hsa-miR-190	hsa-miR-190a-5p	MIMAT0000458	mir-190	Homo sapiens
hsa-miR-1908	hsa-miR-1908-5p	MIMAT0007881	mir-1908	Homo sapiens
hsa-miR-190a	hsa-miR-190a-5p	MIMAT0000458	mir-190	Homo sapiens
hsa-miR-190b	hsa-miR-190b	MIMAT0004929	mir-190	Homo sapiens
hsa-miR-191	hsa-miR-191-5p	MIMAT0000440	mir-191	Homo sapiens
hsa-miR-191*	hsa-miR-191-3p	MIMAT0001618	mir-191	Homo sapiens
hsa-miR-191-5p	hsa-miR-191-5p	MIMAT0000440	mir-191	Homo sapiens
hsa-miR-1915	hsa-miR-1915-3p	MIMAT0007892	mir-1915	Homo sapiens
hsa-miR-1915-3p	hsa-miR-1915-3p	MIMAT0007892	mir-1915	Homo sapiens
hsa-miR-192	hsa-miR-192-5p	MIMAT0000222	mir-192	Homo sapiens
hsa-miR-192*	hsa-miR-192-3p	MIMAT0004543	mir-192	Homo sapiens
hsa-miR-192-5p	hsa-miR-192-5p	MIMAT0000222	mir-192	Homo sapiens
hsa-miR-193	hsa-miR-193a-3p	MIMAT0000459	mir-193	Homo sapiens
hsa-miR-193a	hsa-miR-193a-3p	MIMAT0000459	mir-193	Homo sapiens
hsa-miR-193a-3p	hsa-miR-193a-3p	MIMAT0000459	mir-193	Homo sapiens
hsa-miR-193a-5p	hsa-miR-193a-5p	MIMAT0004614	mir-193	Homo sapiens
hsa-miR-193b	hsa-miR-193b-3p	MIMAT0002819	mir-193	Homo sapiens
hsa-miR-193b*	hsa-miR-193b-5p	MIMAT0004767	mir-193	Homo sapiens
hsa-miR-193b-3p	hsa-miR-193b-3p	MIMAT0002819	mir-193	Homo sapiens
hsa-miR-194	hsa-miR-194-5p	MIMAT0000460	mir-194	Homo sapiens
hsa-miR-194-5p	hsa-miR-194-5p	MIMAT0000460	mir-194	Homo sapiens
hsa-miR-195	hsa-miR-195-5p	MIMAT0000461	mir-15	Homo sapiens
hsa-miR-195-5p	hsa-miR-195-5p	MIMAT0000461	mir-15	Homo sapiens
hsa-miR-196a	hsa-miR-196a-5p	MIMAT0000226	mir-196	Homo sapiens
hsa-miR-196a*	hsa-miR-196a-3p	MIMAT0004562	mir-196	Homo sapiens
hsa-miR-196a-5p	hsa-miR-196a-5p	MIMAT0000226	mir-196	Homo sapiens
hsa-miR-196b	hsa-miR-196b-5p	MIMAT0001080	mir-196	Homo sapiens
hsa-miR-196b-5p	hsa-miR-196b-5p	MIMAT0001080	mir-196	Homo sapiens
hsa-miR-197	hsa-miR-197-3p	MIMAT0000227	mir-197	Homo sapiens
hsa-miR-197-3p	hsa-miR-197-3p	MIMAT0000227	mir-197	Homo sapiens
hsa-miR-1973	hsa-miR-1973	MIMAT0009448		Homo sapiens
hsa-miR-1974				Homo sapiens
hsa-miR-1975				Homo sapiens
hsa-miR-1979				Homo sapiens
hsa-miR-198	hsa-miR-198	MIMAT0000228	mir-198	Homo sapiens
hsa-miR-199a	hsa-miR-199a-5p	MIMAT0000231	mir-199	Homo sapiens
hsa-miR-199a*	hsa-miR-199a-3p	MIMAT0000232	mir-199	Homo sapiens
hsa-miR-199a-3p	hsa-miR-199a-3p	MIMAT0000232	mir-199	Homo sapiens
hsa-miR-199a-5p	hsa-miR-199a-5p	MIMAT0000231	mir-199	Homo sapiens
hsa-miR-199b	hsa-miR-199b-5p	MIMAT0000263	mir-199	Homo sapiens
hsa-miR-199b-5p	hsa-miR-199b-5p	MIMAT0000263	mir-199	Homo sapiens
hsa-miR-19a	hsa-miR-19a-3p	MIMAT0000073	mir-19	Homo sapiens
hsa-miR-19a-3p	hsa-miR-19a-3p	MIMAT0000073	mir-19	Homo sapiens
hsa-miR-19b	hsa-miR-19b-3p	MIMAT0000074	mir-19	Homo sapiens
hsa-miR-19b-1*	hsa-miR-19b-1-5p	MIMAT0004491	mir-19	Homo sapiens
hsa-miR-19b-3p	hsa-miR-19b-3p	MIMAT0000074	mir-19	Homo sapiens
hsa-miR-20	hsa-miR-20a-5p	MIMAT0000075	mir-17	Homo sapiens
hsa-miR-200a	hsa-miR-200a-3p	MIMAT0000682	mir-8	Homo sapiens
hsa-miR-200a*	hsa-miR-200a-5p	MIMAT0001620	mir-8	Homo sapiens
hsa-miR-200a-3p	hsa-miR-200a-3p	MIMAT0000682	mir-8	Homo sapiens
hsa-miR-200a-5p	hsa-miR-200a-5p	MIMAT0001620	mir-8	Homo sapiens
hsa-miR-200b	hsa-miR-200b-3p	MIMAT0000318	mir-8	Homo sapiens
hsa-miR-200b*	hsa-miR-200b-5p	MIMAT0004571	mir-8	Homo sapiens
hsa-miR-200b-3p	hsa-miR-200b-3p	MIMAT0000318	mir-8	Homo sapiens
hsa-miR-200b-5p	hsa-miR-200b-5p	MIMAT0004571	mir-8	Homo sapiens
hsa-miR-200c	hsa-miR-200c-3p	MIMAT0000617	mir-8	Homo sapiens
hsa-miR-200c-3p	hsa-miR-200c-3p	MIMAT0000617	mir-8	Homo sapiens
hsa-miR-202	hsa-miR-202-3p	MIMAT0002811	mir-202	Homo sapiens
hsa-miR-203	hsa-miR-203a-3p	MIMAT0000264	mir-203	Homo sapiens
hsa-miR-203a	hsa-miR-203a-3p	MIMAT0000264	mir-203	Homo sapiens
hsa-mir-203a-3p	hsa-mir-203a-3p	MIMAT0000264	mir-203	Homo sapiens
hsa-miR-204	hsa-miR-204-5p	MIMAT0000265	mir-204	Homo sapiens
hsa-miR-204-3p	hsa-miR-204-3p	MIMAT0022693	mir-204	Homo sapiens
hsa-miR-205	hsa-miR-205-5p	MIMAT0000266	mir-205	Homo sapiens
hsa-miR-205-5p	hsa-miR-205-5p	MIMAT0000266	mir-205	Homo sapiens
hsa-miR-206	hsa-miR-206	MIMAT0000462	mir-1	Homo sapiens
hsa-miR-208a	hsa-miR-208a	MIMAT0000241	mir-208	Homo sapiens
hsa-miR-208b	hsa-miR-208b	MIMAT0004960	mir-208	Homo sapiens
hsa-miR-20a	hsa-miR-20a-5p	MIMAT0000075	mir-17	Homo sapiens
hsa-miR-20a*	hsa-miR-20a-3p	MIMAT0004493	mir-17	Homo sapiens
hsa-miR-20a-5p	hsa-miR-20a-5p	MIMAT0000075	mir-17	Homo sapiens
hsa-miR-20b	hsa-miR-20b-5p	MIMAT0001413	mir-17	Homo sapiens
hsa-miR-20b-5p	hsa-miR-20b-5p	MIMAT0001413	mir-17	Homo sapiens
hsa-miR-21	hsa-miR-21-5p	MIMAT0000076	mir-21	Homo sapiens
hsa-miR-21*	hsa-miR-21-3p	MIMAT0004494	mir-21	Homo sapiens
hsa-miR-21-5p	hsa-miR-21-5p	MIMAT0000076	mir-21	Homo sapiens
hsa-miR-210	hsa-miR-210-3p	MIMAT0000267	mir-210	Homo sapiens
hsa-miR-2110	hsa-miR-2110	MIMAT0010133	mir-2110	Homo sapiens
hsa-miR-212	hsa-miR-212-3p	MIMAT0000269	mir-132	Homo sapiens
hsa-miR-2127	NULL	NULL	NULL	Homo sapiens
hsa-miR-2137	NULL	NULL	NULL	Homo sapiens
hsa-miR-214	hsa-miR-214-3p	MIMAT0000271	mir-214	Homo sapiens
hsa-miR-215	hsa-miR-215	MIMAT0000272	mir-192	Homo sapiens
hsa-miR-217	hsa-miR-217	MIMAT0000274	mir-217	Homo sapiens
hsa-miR-218	hsa-miR-218-5p	MIMAT0000275	mir-218	Homo sapiens
hsa-miR-218-5p	hsa-miR-218-5p	MIMAT0000275	mir-218	Homo sapiens
hsa-miR-219	hsa-miR-219a-5p	MIMAT0000276	mir-219	Homo sapiens
hsa-miR-219-5p	hsa-miR-219-5p	MIMAT0000276	mir-219	Homo sapiens
hsa-miR-22	hsa-miR-22-3p	MIMAT0000077	mir-22	Homo sapiens
hsa-miR-22*	hsa-miR-22-5p	MIMAT0004495	mir-22	Homo sapiens
hsa-miR-22-3p	hsa-miR-22-3p	MIMAT0000077	mir-22	Homo sapiens
hsa-miR-22-5p	hsa-miR-22-5p	MIMAT0004495	mir-22	Homo sapiens
hsa-miR-220				Homo sapiens
hsa-miR-221	hsa-miR-221-3p	MIMAT0000278	mir-221	Homo sapiens
hsa-miR-221*	hsa-miR-221-5p	MIMAT0004568	mir-221	Homo sapiens
hsa-miR-221-3p	hsa-miR-221-3p	MIMAT0000278	mir-221	Homo sapiens
hsa-miR-222	hsa-miR-222-3p	MIMAT0000279	mir-221	Homo sapiens
hsa-miR-222-3p	hsa-miR-222-3p	MIMAT0000279	mir-221	Homo sapiens
hsa-miR-223	hsa-miR-223-3p	MIMAT0000280	mir-223	Homo sapiens
hsa-miR-223*	hsa-miR-223-5p	MIMAT0004570	mir-223	Homo sapiens
hsa-miR-224	hsa-miR-224-5p	MIMAT0000281	mir-224	Homo sapiens
hsa-miR-224*	hsa-miR-224-3p	MIMAT0009198	mir-224	Homo sapiens
hsa-miR-224-5p	hsa-miR-224-5p	MIMAT0000281	mir-224	Homo sapiens
hsa-miR-2278	hsa-miR-2278	MIMAT0011778	mir-2278	Homo sapiens
hsa-miR-23a	hsa-miR-23a-3p	MIMAT0000078	mir-23	Homo sapiens
hsa-miR-23a*	hsa-miR-23a-5p	MIMAT0004496	mir-23	Homo sapiens
hsa-miR-23a-3p	hsa-miR-23a-3p	MIMAT0000078	mir-23	Homo sapiens
hsa-miR-23b	hsa-miR-23b-3p	MIMAT0000418	mir-23	Homo sapiens
hsa-miR-23b-3p	hsa-miR-23b-3p	MIMAT0000418	mir-26	Homo sapiens
hsa-miR-23b-3p	hsa-miR-23b-3p	MIMAT0000418	mir-23	Homo sapiens
hsa-miR-24	hsa-miR-24-3p	MIMAT0000080	mir-24	Homo sapiens
hsa-miR-24-3p	hsa-miR-24-3p	MIMAT0000080	mir-24	Homo sapiens
hsa-miR-25	hsa-miR-25-3p	MIMAT0000081	mir-25	Homo sapiens
hsa-miR-25-3p	hsa-miR-25-3p	MIMAT0000081	mir-25	Homo sapiens
hsa-miR-26	NULL	NULL	NULL	Homo sapiens
hsa-miR-26-5p	NULL	NULL	NULL	Homo sapiens
hsa-miR-26a	hsa-miR-26a-5p	MIMAT0000082	mir-26	Homo sapiens
hsa-miR-26a-1	hsa-miR-26a-5p	MIMAT0000082	mir-26	Homo sapiens
hsa-miR-26a-5p	hsa-miR-26a-5p	MIMAT0000082	mir-26	Homo sapiens
hsa-miR-26b	hsa-miR-26b-5p	MIMAT0000083	mir-26	Homo sapiens
hsa-miR-26b*	hsa-miR-26b-3p	MIMAT0004500	mir-26	Homo sapiens
hsa-miR-26b-5p	hsa-miR-26b-5p	MIMAT0000083	mir-26	Homo sapiens
hsa-miR-27a	hsa-miR-27a-3p	MIMAT0000084	mir-27	Homo sapiens
hsa-miR-27a*	hsa-miR-27a-5p	MIMAT0004501	mir-27	Homo sapiens
hsa-miR-27a-3p	hsa-miR-27a-3p	MIMAT0000084	mir-27	Homo sapiens
hsa-miR-27b	hsa-miR-27b-3p	MIMAT0000419	mir-27	Homo sapiens
hsa-miR-27b*	hsa-miR-27b-5p	MIMAT0004588	mir-27	Homo sapiens
hsa-miR-27b-3p	hsa-miR-27b-3p	MIMAT0000419	mir-27	Homo sapiens
hsa-miR-28	hsa-miR-28-5p	MIMAT0000085	mir-28	Homo sapiens
hsa-miR-28-3p	hsa-miR-28-3p	MIMAT0004502	mir-28	Homo sapiens
hsa-miR-28-5p	hsa-miR-28-5p	MIMAT0000085	mir-28	Homo sapiens
hsa-miR-2861	hsa-miR-2861	MIMAT0013802	mir-2861	Homo sapiens
hsa-miR-2881	NULL	NULL	NULL	Homo sapiens
hsa-miR-29			mir-29	Homo sapiens
hsa-miR-290	NULL	NULL	NULL	Homo sapiens
hsa-miR-2900	NULL	NULL	NULL	Homo sapiens
hsa-miR-291-3p	NULL	NULL	NULL	Homo sapiens
hsa-miR-292-3p	NULL	NULL	NULL	Homo sapiens
hsa-miR-294	NULL	NULL	NULL	Homo sapiens
hsa-miR-295	NULL	NULL	NULL	Homo sapiens
hsa-miR-296	hsa-miR-296-5p	MIMAT0000690	mir-296	Homo sapiens
hsa-miR-296-5p	hsa-miR-296-5p	MIMAT0000690	mir-296	Homo sapiens
hsa-miR-298	hsa-miR-298	MIMAT0004901	mir-298	Homo sapiens
hsa-miR-299-5p	hsa-miR-299-5p	MIMAT0002890	mir-299	Homo sapiens
hsa-miR-29a	hsa-miR-29a-3p	MIMAT0000086	mir-29	Homo sapiens
hsa-miR-29a-3p	hsa-miR-29a-3p	MIMAT0000086	mir-29	Homo sapiens
hsa-miR-29b	hsa-miR-29b-3p	MIMAT0000100	mir-29	Homo sapiens
hsa-miR-29b-1*	hsa-miR-29b-1-5p	MIMAT0004514	mir-29	Homo sapiens
hsa-miR-29b-2*	hsa-miR-29b-2-5p	MIMAT0004515	mir-29	Homo sapiens
hsa-miR-29b-3p	hsa-miR-29b-3p	MIMAT0000100	mir-29	Homo sapiens
hsa-miR-29c	hsa-miR-29c-3p	MIMAT0000681	mir-29	Homo sapiens
hsa-miR-29c*	hsa-miR-29c-5p	MIMAT0004673	mir-29	Homo sapiens
hsa-miR-29c-3p	hsa-miR-29c-3p	MIMAT0000681	mir-29	Homo sapiens
hsa-miR-29c-5p	hsa-miR-29c-5p	MIMAT0004673	mir-29	Homo sapiens
hsa-miR-301	hsa-miR-301a-3p	MIMAT0000688	mir-130	Homo sapiens
hsa-miR-301a	hsa-miR-301a-3p	MIMAT0000688	mir-130	Homo sapiens
hsa-miR-301a-3p	hsa-miR-301a-3p	MIMAT0000688	mir-130	Homo sapiens
hsa-miR-301b	hsa-miR-301b	MIMAT0004958	mir-130	Homo sapiens
hsa-miR-302a	hsa-miR-302a-3p	MIMAT0000684	mir-302	Homo sapiens
hsa-miR-302b	hsa-miR-302b-3p	MIMAT0000715	mir-302	Homo sapiens
hsa-miR-302c	hsa-miR-302c-3p	MIMAT0000717	mir-302	Homo sapiens
hsa-miR-3065-5p	hsa-miR-3065-5p	MIMAT0015066	mir-3065	Homo sapiens
hsa-miR-30a	hsa-miR-30a-5p	MIMAT0000087	mir-30	Homo sapiens
hsa-miR-30a-3p	hsa-miR-30a-3p	MIMAT0000088	mir-30	Homo sapiens
hsa-miR-30a-5p	hsa-miR-30a-5p	MIMAT0000087	mir-30	Homo sapiens
hsa-miR-30b	hsa-miR-30b-5p	MIMAT0000420	mir-30	Homo sapiens
hsa-miR-30b-5p	hsa-miR-30b-5p	MIMAT0000420	mir-30	Homo sapiens
hsa-miR-30c	hsa-miR-30c-5p	MIMAT0000244	mir-30	Homo sapiens
hsa-miR-30c-2*	hsa-miR-30c-2-3p	MIMAT0004550	mir-30	Homo sapiens
hsa-miR-30c-2-3p	hsa-miR-30c-2-3p	MIMAT0004550	mir-30	Homo sapiens
hsa-miR-30c-5p	hsa-miR-30c-5p	MIMAT0000244	mir-30	Homo sapiens
hsa-miR-30d	hsa-miR-30d-5p	MIMAT0000245	mir-30	Homo sapiens
hsa-miR-30d*	hsa-miR-30d-3p	MIMAT0004551	mir-30	Homo sapiens
hsa-miR-30d-5p	hsa-miR-30d-5p	MIMAT0000245	mir-30	Homo sapiens
hsa-miR-30e	hsa-miR-30e-5p	MIMAT0000692	mir-30	Homo sapiens
hsa-miR-30e*	hsa-miR-30e-3p	MIMAT0000693	mir-30	Homo sapiens
hsa-miR-30e-3p	hsa-miR-30e-3p	MIMAT0000693	mir-30	Homo sapiens
hsa-miR-30e-5p	hsa-miR-30e-5p	MIMAT0000692	mir-30	Homo sapiens
hsa-miR-31	hsa-miR-31-5p	MIMAT0000089	mir-31	Homo sapiens
hsa-miR-31-3p	hsa-miR-31-3p	MIMAT0004504	mir-31	Homo sapiens
hsa-miR-31-5p	hsa-miR-31-5p	MIMAT0000089	mir-31	Homo sapiens
hsa-miR-3184-3p	hsa-miR-3184-3p	MIMAT0022731	NULL	Homo sapiens
hsa-miR-32	hsa-miR-32-5p	MIMAT0000090	mir-32	Homo sapiens
hsa-miR-32-5p	hsa-miR-32-5p	MIMAT0000090	mir-32	Homo sapiens
hsa-miR-320			mir-320	Homo sapiens
hsa-miR-320	hsa-miR-320a	MIMAT0000510	mir-320	Homo sapiens
hsa-miR-320a	hsa-miR-320a	MIMAT0000510	mir-320	Homo sapiens
hsa-miR-320b	hsa-miR-320b	MIMAT0005792	mir-320	Homo sapiens
hsa-miR-320c	hsa-miR-320c	MIMAT0005793	mir-320	Homo sapiens
hsa-miR-320d	hsa-miR-320d	MIMAT0006764	mir-320	Homo sapiens
hsa-miR-323	hsa-miR-323a-3p	MIMAT0000755	mir-154	Homo sapiens
hsa-miR-323-3p	hsa-miR-323a-3p	MIMAT0000755	mir-154	Homo sapiens
hsa-miR-323b-5p	hsa-miR-323b-5p	MIMAT0001630	mir-154	Homo sapiens
hsa-miR-324-3p	hsa-miR-324-3p	MIMAT0000762	mir-324	Homo sapiens
hsa-miR-324-5p	hsa-miR-324-5p	MIMAT0000761	mir-324	Homo sapiens
hsa-miR-326	hsa-miR-326	MIMAT0000756	mir-326	Homo sapiens
hsa-miR-328	hsa-miR-328	MIMAT0000752	mir-328	Homo sapiens
hsa-miR-330	hsa-miR-330-3p	MIMAT0000751	mir-330	Homo sapiens
hsa-miR-330-3p	hsa-miR-330-3p	MIMAT0000751	mir-330	Homo sapiens
hsa-miR-330-5p	hsa-miR-330-5p	MIMAT0004693	mir-330	Homo sapiens
hsa-miR-331	hsa-miR-331-3p	MIMAT0000760	mir-331	Homo sapiens
hsa-miR-331-3p	hsa-miR-331-3p	MIMAT0000760	mir-331	Homo sapiens
hsa-miR-335	hsa-miR-335-5p	MIMAT0000765	mir-335	Homo sapiens
hsa-miR-335*	hsa-miR-335-3p	MIMAT0004703	mir-335	Homo sapiens
hsa-miR-335-5p	hsa-miR-335-5p	MIMAT0000765	mir-335	Homo sapiens
hsa-miR-337-5p	hsa-miR-337-5p	MIMAT0004695	mir-337	Homo sapiens
hsa-miR-338-3p	hsa-miR-338-3p	MIMAT0000763	mir-338	Homo sapiens
hsa-miR-339	hsa-miR-339-5p	MIMAT0000764	mir-339	Homo sapiens
hsa-miR-339-3p	hsa-miR-339-3p	MIMAT0004702	mir-339	Homo sapiens
hsa-miR-339-5p	hsa-miR-339-5p	MIMAT0000764	mir-339	Homo sapiens
hsa-miR-33a	hsa-miR-33a-5p	MIMAT0000091	mir-33	Homo sapiens
hsa-miR-33a-5p	hsa-miR-33a-5p	MIMAT0000091	mir-33	Homo sapiens
hsa-miR-33b	hsa-miR-33b-5p	MIMAT0003301	mir-33	Homo sapiens
hsa-miR-340	hsa-miR-340-5p	MIMAT0004692	mir-340	Homo sapiens
hsa-miR-340*	hsa-miR-340-3p	MIMAT0000750	mir-340	Homo sapiens
hsa-miR-340-5p	hsa-miR-340-5p	MIMAT0004692	mir-340	Homo sapiens
hsa-miR-342	hsa-miR-342-3p	MIMAT0000753	mir-342	Homo sapiens
hsa-miR-342-3p	hsa-miR-342-3p	MIMAT0000753	mir-342	Homo sapiens
hsa-miR-342-5p	hsa-miR-342-5p	MIMAT0004694	mir-342	Homo sapiens
hsa-miR-345	hsa-miR-345-5p	MIMAT0000772	mir-345	Homo sapiens
hsa-miR-345-5p	hsa-miR-345-5p	MIMAT0000772	mir-345	Homo sapiens
hsa-miR-346	hsa-miR-346	MIMAT0000773	mir-346	Homo sapiens
hsa-miR-34a	hsa-miR-34a-5p	MIMAT0000255	mir-34	Homo sapiens
hsa-miR-34a*	hsa-miR-34a-3p	MIMAT0004557	mir-34	Homo sapiens
hsa-miR-34a-5p	hsa-miR-34a-5p	MIMAT0000255	mir-34	Homo sapiens
hsa-miR-34b	hsa-miR-34b-3p	MIMAT0004676	mir-34	Homo sapiens
hsa-miR-34b*	hsa-miR-34b-5p	MIMAT0000685	mir-34	Homo sapiens
hsa-miR-34c	hsa-miR-34c-5p	MIMAT0000686	mir-34	Homo sapiens
hsa-miR-34c-5p	hsa-miR-34c-5p	MIMAT0000686	mir-34	Homo sapiens
hsa-miR-361	hsa-miR-361-5p	MIMAT0000703	mir-361	Homo sapiens
hsa-miR-361-3p	hsa-miR-361-3p	MIMAT0004682	mir-361	Homo sapiens
hsa-miR-361-5p	hsa-miR-361-5p	MIMAT0000703	mir-361	Homo sapiens
hsa-miR-362	hsa-miR-362-5p	MIMAT0000705	mir-362	Homo sapiens
hsa-miR-362-3p	hsa-miR-362-3p	MIMAT0004683	mir-362	Homo sapiens
hsa-miR-362-5p	hsa-miR-362-5p	MIMAT0000705	mir-362	Homo sapiens
hsa-miR-363	hsa-miR-363-3p	MIMAT0000707	mir-363	Homo sapiens
hsa-miR-363-3p	hsa-miR-363-3p	MIMAT0000707	mir-363	Homo sapiens
hsa-miR-365	hsa-miR-365a-3p	MIMAT0000710	mir-365	Homo sapiens
hsa-miR-365a-3p	hsa-miR-365a-3p	MIMAT0000710	mir-365	Homo sapiens
hsa-miR-365b-3p	hsa-miR-365b-3p	MIMAT0022834	mir-365	Homo sapiens
hsa-miR-367*	hsa-miR-367-5p	MIMAT0004686	mir-367	Homo sapiens
hsa-miR-369-3p	hsa-miR-369-3p	MIMAT0000721	mir-154	Homo sapiens
hsa-miR-370	hsa-miR-370	MIMAT0000722	mir-370	Homo sapiens
hsa-miR-371	hsa-miR-371a-3p	MIMAT0000723	mir-290	Homo sapiens
hsa-miR-371-5p	hsa-miR-371a-5p	MIMAT0004687	mir-290	Homo sapiens
hsa-miR-372	hsa-miR-372	MIMAT0000724	mir-290	Homo sapiens
hsa-miR-373	hsa-miR-373-3p	MIMAT0000726	mir-373	Homo sapiens
hsa-miR-373*	hsa-miR-373-5p	MIMAT0000725	mir-373	Homo sapiens
hsa-miR-374	hsa-miR-374a-3p	MIMAT0004688	mir-374	Homo sapiens
hsa-miR-374a	hsa-miR-374a-5p	MIMAT0000727	mir-374	Homo sapiens
hsa-miR-374a-5p	hsa-miR-374a-5p	MIMAT0000727	mir-374	Homo sapiens
hsa-miR-374b	hsa-miR-374b-5p	MIMAT0004955	mir-374	Homo sapiens
hsa-miR-374b-5p	hsa-miR-374b-5p	MIMAT0004955	mir-374	Homo sapiens
hsa-miR-374c-3p	hsa-miR-374c-3p	MIMAT0022735	mir-374	Homo sapiens
hsa-miR-375	hsa-miR-375	MIMAT0000728	mir-375	Homo sapiens
hsa-miR-375-3p	hsa-miR-375	MIMAT0000728	mir-375	Homo sapiens
hsa-miR-376a	hsa-miR-376a-3p	MIMAT0000729	mir-368	Homo sapiens
hsa-miR-376b	hsa-miR-376b	MIMAT0002172	mir-368	Homo sapiens
hsa-miR-376c	hsa-miR-376c	MIMAT0000720	mir-368	Homo sapiens
hsa-miR-376c-3p	hsa-miR-376c-3p	MIMAT0000720	mir-368	Homo sapiens
hsa-miR-378	hsa-miR-378a-3p	MIMAT0000732	mir-378	Homo sapiens
hsa-miR-378*	hsa-miR-378a-5p	MIMAT0000731	mir-378	Homo sapiens
hsa-miR-378a-3p	hsa-miR-378a-3p	MIMAT0000732	mir-378	Homo sapiens
hsa-miR-378c	hsa-miR-378c	MIMAT0016847	mir-378	Homo sapiens
hsa-miR-379	hsa-miR-379-5p	MIMAT0000733	mir-379	Homo sapiens
hsa-miR-379*	hsa-miR-379-3p	MIMAT0004690	mir-379	Homo sapiens
hsa-miR-379-5p	hsa-miR-379-5p	MIMAT0000733	mir-379	Homo sapiens
hsa-miR-380*	hsa-miR-380-5p	MIMAT0000734	mir-379	Homo sapiens
hsa-miR-381	hsa-miR-381	MIMAT0000736	mir-154	Homo sapiens
hsa-miR-382	hsa-miR-382-5p	MIMAT0000737	mir-154	Homo sapiens
hsa-miR-383	hsa-miR-383-5p	MIMAT0000738	mir-383	Homo sapiens
hsa-miR-409-3p	hsa-miR-409-3p	MIMAT0001639	mir-154	Homo sapiens
hsa-miR-410	hsa-miR-410-3p	MIMAT0002171	mir-154	Homo sapiens
hsa-miR-411	hsa-miR-411-5p	MIMAT0003329	mir-379	Homo sapiens
hsa-miR-412	hsa-miR-412	MIMAT0002170	mir-412	Homo sapiens
hsa-miR-421	hsa-miR-421	MIMAT0003339	mir-95	Homo sapiens
hsa-miR-422a	hsa-miR-422a	MIMAT0001339	mir-422	Homo sapiens
hsa-miR-422b	hsa-miR-378a-3p	MIMAT0000732	mir-378	Homo sapiens
hsa-miR-423	hsa-miR-423-3p	MIMAT0001340	mir-423	Homo sapiens
hsa-miR-423-3p	hsa-miR-423-3p	MIMAT0001340	mir-423	Homo sapiens
hsa-miR-423-5p	hsa-miR-423-5p	MIMAT0004748	mir-423	Homo sapiens
hsa-miR-424	hsa-miR-424-5p	MIMAT0001341	mir-322	Homo sapiens
hsa-miR-424*	hsa-miR-424-3p	MIMAT0004749	mir-322	Homo sapiens
hsa-miR-424-5p	hsa-miR-424-5p	MIMAT0001341	mir-322	Homo sapiens
hsa-miR-425	hsa-miR-425-5p	MIMAT0003393	mir-425	Homo sapiens
hsa-miR-425*	hsa-miR-425-3p	MIMAT0001343	mir-425	Homo sapiens
hsa-miR-425-3p	hsa-miR-425-3p	MIMAT0001343	mir-425	Homo sapiens
hsa-miR-425-5p	hsa-miR-425-5p	MIMAT0003393	mir-425	Homo sapiens
hsa-miR-4286	hsa-miR-4286	MIMAT0016916		Homo sapiens
hsa-miR-429	hsa-miR-429	MIMAT0001536	mir-8	Homo sapiens
hsa-miR-431	hsa-miR-431-5p	MIMAT0001625	mir-431	Homo sapiens
hsa-miR-431*	hsa-miR-431-3p	MIMAT0004757	mir-431	Homo sapiens
hsa-miR-432	hsa-miR-432-5p	MIMAT0002814	mir-432	Homo sapiens
hsa-miR-433	hsa-miR-433	MIMAT0001627	mir-433	Homo sapiens
hsa-miR-433	hsa-miR-433-3p	MIMAT0001627	mir-433	Homo sapiens
hsa-miR-4497	hsa-miR-4497	MIMAT0019032	NULL	Homo sapiens
hsa-miR-449a	hsa-miR-449a	MIMAT0001541	mir-449	Homo sapiens
hsa-miR-450a	hsa-miR-450a-5p	MIMAT0001545	mir-450	Homo sapiens
